fn,roi#,t1,x,y,mortality,status,peak,valley,valley_t,peak_t,threshold_t-
d68420c062db9635341aa28cb079334b.tif.mortality.tab,81,0.00698805555556,1209.0,325.0,40.0073772222,1,7237.1907437815944,325.19050541071681,11.008055,40.0073772222,39.0083994444
d68420c062db9635341aa28cb079334b.tif.mortality.tab,82,0.00698805555556,925.0,325.0,18.0058538889,1,4561.1102483214572,280.88798672354085,9.00627972222,18.0058538889,17.0060872222
d68420c062db9635341aa28cb079334b.tif.mortality.tab,83,0.00698805555556,602.0,324.0,42.0082386111,1,3845.8055410599777,284.96673999822588,3.00754611111,43.0092291667,41.0083769444
d68420c062db9635341aa28cb079334b.tif.mortality.tab,84,0.00698805555556,846.0,322.0,45.0089238889,1,3838.8260132909181,318.90399935557281,13.0085191667,45.0089238889,44.0082472222
d68420c062db9635341aa28cb079334b.tif.mortality.tab,85,0.00698805555556,399.0,324.0,6.00575138889,1,4386.7375544102115,295.18976206094254,3.00754611111,6.00575138889,5.00754777778
d68420c062db9635341aa28cb079334b.tif.mortality.tab,86,0.00698805555556,276.0,323.0,34.0082825,1,8317.8082214201913,331.45356253691943,18.0058538889,36.0064611111,33.0068741667
d68420c062db9635341aa28cb079334b.tif.mortality.tab,87,0.00698805555556,440.0,323.0,20.005585,1,4142.5764293383036,285.36175417719488,6.00575138889,28.0080213889,19.0074797222
d68420c062db9635341aa28cb079334b.tif.mortality.tab,88,0.00698805555556,1003.0,324.0,38.0080105556,1,2065.0237515656572,227.89449385339267,22.0077575,39.0083994444,37.0067180556
d68420c062db9635341aa28cb079334b.tif.mortality.tab,89,0.00698805555556,803.0,284.0,15.0083888889,1,8061.8787054627192,322.86651745225805,4.00621833333,17.0060872222,14.0078566667
d68420c062db9635341aa28cb079334b.tif.mortality.tab,90,0.00698805555556,844.0,283.0,33.0068741667,1,3908.6370402726566,317.84098602438752,13.0085191667,54.0088119444,32.0070702778
d68420c062db9635341aa28cb079334b.tif.mortality.tab,91,0.00698805555556,359.0,284.0,55.0086011111,1,4080.1748292452953,220.39923592284907,15.0083888889,56.0084016667,54.0088119444
d68420c062db9635341aa28cb079334b.tif.mortality.tab,92,0.00698805555556,238.0,284.0,35.008695,1,4131.4435380389168,350.79439929113005,13.0085191667,47.0073316667,34.0082825
d68420c062db9635341aa28cb079334b.tif.mortality.tab,93,0.00698805555556,408.0,281.0,50.0076036111,1,1776.9730196392923,231.73971478955391,16.0069011111,50.0076036111,49.0078647222
d68420c062db9635341aa28cb079334b.tif.mortality.tab,94,0.00698805555556,803.0,244.0,47.0073316667,1,1888.2775578473759,273.60583614986791,14.0078566667,56.0084016667,46.007025
d68420c062db9635341aa28cb079334b.tif.mortality.tab,95,0.00698805555556,602.0,245.0,22.0077575,1,4141.0718269625822,273.90598125992273,11.008055,23.0068611111,21.0074025
d68420c062db9635341aa28cb079334b.tif.mortality.tab,96,0.00698805555556,480.0,243.0,50.0076036111,1,8106.308527559816,250.98094808439271,15.0083888889,51.0082697222,49.0078647222
d68420c062db9635341aa28cb079334b.tif.mortality.tab,97,0.00698805555556,482.0,205.0,28.0080213889,1,5640.9649067445125,280.88812076222183,14.0078566667,54.0088119444,27.0063183333
d68420c062db9635341aa28cb079334b.tif.mortality.tab,98,0.00698805555556,1287.0,203.0,52.0088127778,1,7048.7939047110585,329.6924615226111,3.00754611111,53.0085891667,51.0082697222
d68420c062db9635341aa28cb079334b.tif.mortality.tab,99,0.00698805555556,562.0,204.0,41.0083769444,1,8831.08911677578,301.61685618486621,19.0074797222,41.0083769444,40.0073772222
d68420c062db9635341aa28cb079334b.tif.mortality.tab,100,0.00698805555556,1209.0,164.0,18.0058538889,1,3642.0902416685053,442.0,0.00698805555556,53.0085891667,17.0060872222
d68420c062db9635341aa28cb079334b.tif.mortality.tab,101,0.00698805555556,440.0,164.0,21.0074025,1,3361.699350933498,290.71565442966772,17.0060872222,56.0084016667,20.005585
d68420c062db9635341aa28cb079334b.tif.mortality.tab,102,0.00698805555556,1128.0,163.0,62.0064380556,1,4500.9392559934822,289.8215418127968,12.0067911111,63.0071866667,61.0086847222
